Title,Published Date,URL,Body,Authors,Image URL
List of ongoing armed conflicts,Published date not found (newspaper3k),https://en.wikipedia.org/wiki/List_of_ongoing_armed_conflicts,"Map of ongoing armed conflicts (number of combat-related deaths in current or previous year): Major wars (10,000 or more) Minor wars (1,000–9,999) Conflicts (100–999) Skirmishes and clashes (1–99)

The following is a list of ongoing armed conflicts that are taking place around the world.

Criteria

Conflict deaths in the 17 deadliest conflicts 2015–2020

This list of ongoing armed conflicts identifies present-day conflicts and the death toll associated with each conflict. The criteria of inclusion are the following:

Armed conflicts consist in the use of armed force between two or more organized armed groups, governmental or non-governmental. [ 1 ] Interstate, intrastate and non-state armed conflicts are listed.

Fatality figures include battle-related deaths (military and civilian) as well as civilians intentionally targeted by the parties to an armed conflict. Only direct deaths resulting from violence are included for the current and previous year; excess deaths indirectly resulting from famine, disease, or disruption of services are included along with violent deaths in the cumulative fatalities count when available.

by the parties to an armed conflict. Only direct deaths resulting from violence are included for the current and previous year; excess deaths indirectly resulting from famine, disease, or disruption of services are included along with violent deaths in the cumulative fatalities count when available. Listed conflicts have at least 100 cumulative deaths in total and at least 1 death in current or in the past calendar year.

Fatality totals may be inaccurate or unavailable due to a lack of information. A figure with a plus symbol, indicates that at least that many people have died (e.g. 455+ indicates that at least 455 people have died).

Location refers to the states where the main violence takes place, not to the warring parties. Italics indicate disputed territories and unrecognized states.

refers to the states where the main violence takes place, not to the warring parties. Italics indicate disputed territories and unrecognized states. A territorial dispute or a protest movement which has not experienced deliberate and systematic deaths due to state or paramilitary violence is not considered to be an armed conflict.

List of current wars and conflicts

Major wars (10,000 or more combat-related deaths in current or previous year)

The 6 conflicts in the following list have caused at least 10,000 direct, violent deaths per year in battles between identified groups, in the current or previous calendar year.[2]

Minor wars (1,000–9,999 combat-related deaths in current or previous year)

The 10 conflicts in the following list have caused at least 1,000 and fewer than 10,000 direct, violent deaths in the current or previous calendar year.[2] Conflicts causing at least 1,000 deaths in one calendar year are considered wars by the Uppsala Conflict Data Program.[35]

Conflicts (100–999 combat-related deaths in current or previous year)

The 16 conflicts in the following list have caused at least 100, and fewer than 1,000, direct, violent deaths in the current or previous calendar year.

Skirmishes and clashes (fewer than 100 combat-related deaths in current and previous year)

The 10 conflicts in the following list have caused fewer than 100 direct, violent deaths in the current or previous calendar year.

Deaths by country

See also

Notes",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Ongoing_conflicts_around_the_world.svg/1200px-Ongoing_conflicts_around_the_world.svg.png
Today’s Armed Conflicts,Published date not found (newspaper3k),https://geneva-academy.ch/galleries/today-s-armed-conflicts,"Middle East and North Africa: More than 45 Armed Conflicts

This is, in numbers, the most affected region: more than 45 armed conflicts are currently taking place throughout the Middle East and North Africa in the following territories: Cyprus, Egypt, Iraq, Israel, Libya, Morocco, Palestine, Syria, Turkey, Yemen and Western Sahara.

The majority are non-international (NIACs), involving a multitude of armed non-state actors and foreign interventions by Western powers, Russia, and neighbouring countries – except for the NIACs taking place in Egypt and Turkey.

‘Syria is the most affected country in the region. Several multiple and overlapping NIACs are taking place in the country – involving numerous armed groups who fight against the government and against each other –, along with two military occupations and three international armed conflicts’ explains Dr Chiara Redealli, Research Fellow at the Geneva Academy.

© Mahmoud Sulaiman, Unplash",,https://geneva-academy.ch/templates/gvac/src/favicon/apple-icon-57x57.png
CFR Interactives,Published date not found (newspaper3k),https://www.cfr.org/global-conflict-tracker,"Global Conflict Tracker

The Global Conflict Tracker is an interactive guide to ongoing conflicts around the world of concern to the United States with background information and resources. This project is supported by the Carnegie Corporation of New York.",,https://microsites-live-backend.cfr.org/themes/custom/ds_gct_barrio/favicon-32x32.png
Title not found (newspaper3k),Published date not found (newspaper3k),https://www.crisisgroup.org/global/10-conflicts-watch-2024,Body not found (newspaper3k),,
Countries Currently at War / Countries at War 2025,Published date not found (newspaper3k),https://worldpopulationreview.com/country-rankings/countries-currently-at-war,"The Oxford English Dictionary defines “war” as: (1) A state of armed conflict between different countries or different groups within a country; (2) a state of competition or hostility between different people or groups, or (3) a sustained campaign against an undesirable situation or activity. There are many possible reasons for war to begin between—or more often, within—nations. Among these are economic gain, territorial gain, religion, nationalism, civil war, and political revolution. Often, countries’ leaders become primary motivators of conflict by instigating a territorial dispute, trying to control another country’s natural resources, or exercising authoritarian power over people. Countries subject to prolonged conflict can become war-torn countries that require many decades to rebuild their infrastructure, economy, and other functions.

Not all wars are formalized with official declarations of war between combatants. Conversely, not every ongoing armed conflict is classified as a war. This article will use the Uppsala Conflict Data Program definition, which described war as “a state-based conflict or dyad which reaches at least 1000 battle-related deaths in a specific calendar year.” Fatality figures include any combatants killed in action as well as any civilians who were deliberately killed (for example, by bombings or other attacks).

The 2022 Russia/Ukraine Conflict

On February 24, 2022, the Russian Federation began a military invasion of Ukraine, escalating a conflict that had been simmering since Russia’s 2014 annexation of Ukraine’s Crimean peninsula. After officially recognizing the separatist Ukrainian regions of Donetsk and Luhansk on February 21, 2022, Russian President Vladimir Putin sent troops into Ukraine on what he termed a “peacekeeping” mission, which escalated to a large-scale invasion on Feb. 24, 2022.

Military Action in the Russo-Ukrainian Conflict

The initial attacks were composed of missile volleys, soon followed by ground troops and armored units which entered Ukraine from both Russia and Belarus and appeared to be targeting Ukraine’s capital city of Kiev. By Feb. 24, 2022,, Russian forces had taken control of the Chernobyl nuclear power facility. As of the evening of Feb. 25, 2022,, Russian forces had also overtaken an airfield near Kyiv and were expected to take control of the city within days, if not hours.

However, those expectations proved inaccurate. The Ukrainian people, urged to resist by President Volodymyr Zelensky, fought with great conviction and effectiveness. The frozen ground began to thaw, creating muddy, boggy soil that limited the ability of tanks and other heavy armored vehicles. Russia also had great difficulty keeping supply lines running smoothly—a concern amplified by the fact that, according to some reports, Russia’s ground forces entered Ukraine carrying only a three-day supply of fuel. Many Russian tanks ran out of fuel and were abandoned. Moreover, reports came of Russian soldiers who chose to surrender rather than fire upon Ukrainians, whom they regarded as countrymen (because Ukraine is a former Soviet Republic). Together, these factors delayed what Russia reportedly planned to be a swift takeover.

As of Sept. 12, 2022, Kyiv still had not fallen. Conversely, as time passed, the war began to turn more and more in Ukraine’s favor. The United States and other allies offered significant military and humanitarian aid to Ukraine while also imposing all manner of trade boycotts and other economic and political penalties upon Russia. Morale among Russian troops continued to decrease, and Ukrainian counterattacks, particularly in early September, were successful in reclaiming large portions of territory previously occupied by Russia.

Initial Developments in the Russo-Ukrainian Conflict

In the face of Ukraine’s initial stronger-than-expected resistance, Russia escalated its efforts. It had reportedly broken cease-fire agreements, admitted to launching thermobaric rockets, hypersonic missiles, and banned anti-personnel mines and cluster munitions, the uses of which may be considered war crimes. Russia had also begun attacking civilian targets including a known evacuation route and a maternity hospital and other health care facilities (which are also war crimes). Despite these escalated tactics, as well as looming shortages of food and water in Ukrainian towns such as Kherson, Kharkiv, and Sumy, Ukraine launched a counteroffensive that seemed by March 22, 2022 to have reclaimed some of the territory Russia had occupied, most notably the city of Makariv, west of Kyiv. As of May 2, 2022, Ukrainian forces were continuing to regain territory.

As of May 5, 2022, more than 5.5 million Ukranians had fled the country, seeking refuge predominantly in Poland (more than 3 million refugees) but also in Hungary, Slovakia, and other European countries—including, somewhat paradoxically, Russia, where many Ukranians have family. More than 7 million more are believed to be displaced inside the country. On March 25, 2022, the United Nations Children’s Fund (UNICEF) estimated that one out of every two Ukrainian children had been displaced by the ongoing war, and the UN has gone on record stating the Ukraine refugee crisis is “the fastest and largest displacement of people in Europe since World War II.”

By March 15, 2022, the Ukranian city of Mariupol was deeply engaged with Russian forces. Mariupol’s mayor told news organizations that the Russians were intent upon destroying the city and had dropped more than 100 bombs on Mariupol in a single day. Multiple Ukrainian officials have further claimed the Russians were holding hostage the doctors and patients of one of the city’s hospitals. It is estimated that 350,000 to 400,000 Ukrainians remain in Mariupol, where shortages of food and water are becoming an increasing problem, as humanitarian aid has been slow to reach the city, reportedly blocked by Russian forces. The Russians have also been accused of agreeing to “evacuation routes” meant to offer civilians free passage out of besieged cities, but then shelling those routes with artillery. Russian forces have supplemented the land-based artillery shelling the city with additional bombardment from warships in the Sea of Azov. Satellite photos released on March 30, 2022, show entire city blocks flattened by artillery and missile bombardment.

Russia has also been accused of forcibly relocating captured Ukrainians to Russia, which would be a violation of the Geneva Conventions. Russian forces have reportedly stolen, detained, and even redirected evacuation buses. Estimates in late March suggested the number of Ukrainians abducted and taken to Russia may have been as many as 40,000, including thousands of children. Many were reportedly forced to choose between going to Russia or being killed. By May 2, 2022, it was believed that 40,000 residents from Mariupol alone had been deported, and the Russian government openly stated it had “evacuated” more than a million people, including 200,000 children.

On March 16, 2022, U.S. defense officials reported increased Russian naval activity in the waters near the city of Odessa, located on Ukraine’s southern coastline, which would seem to indicate the possibility of an amphibious attack from Russia. Odessa is the last Ukrainian port city still controlled by Ukraine. The U.S. also announced $800M USD in defense assistance for Ukraine, including more than 600 Stinger anti-aircraft missiles, which could help fend off the Russian bombing raids. Thus far, the U.S. and NATO have not implemented a no-fly zone over the Ukraine, despite Ukrainian President Volodymyr Zelensky’s request.

In Mariupol, evidence emerged that Russian forces had bombed a theater where hundreds of Ukrainian civilians had taken shelter—and had written the word “children” in large letters in the parking lot outside. The fate of the theater’s inhabitants was unknown, as the entrance had become blocked by rubble. However, on March 17, 2022, it was announced that at least some of the up to 1,200 people sheltering inside had survived and begun to emerge from the rubble. A day later on March 18, 2022, 130 people had been pulled from the rubble, but hundreds more remained buried (it was revealed on March 25, 2022 that an estimated 300 people had died, but some 600 had survived).

A similar event seems to have occurred on March 20, 2022, when Russian forces bombed an art school that was being used as a shelter by up to 400 Ukrainians. Despite these demoralizing attacks, Ukraine rejected Russia’s demand to surrender Mariupol by the morning on Monday, March 21, 2022. Increasing evidence exists of mass graves in Mariupol and other locations, and that Russian troops may be executing POWs.

Throughout the conflict, Russian President Vladimir Putin has maintained that Russia is the victim and Ukraine is a stealth aggressor, claiming that Ukraine has secret nuclear and biological weapons programs and that it harbors neo-Nazis (a clear reference to Ukraine’s admittedly ultranationalist Azov battalion) who must be eradicated. While Putin offered no proof of any nuclear or biological weapons in Ukraine, U.S. officials warned of the possibility of “false flag” operations in which Russian forces would launch chemical weapons themselves in an attempt to frame Ukraine. Around March 20, 2022, NATO and U.S. officials also warned that Belarus, which lies to Ukraine’s north, may soon join the war on behalf of Russia.

On March 18, 2022, Russian missiles struck the city of Lviv, which lies just 40 miles from Ukraine’s border with Poland. In response, the Polish prime minister announced he would submit a proposal to NATO to launch a peacekeeping mission in the Ukraine.

By March 25, 2022, it was estimated that Russia had launched 1,250 missiles into Ukraine, including toward population centers such as the cities of Mariupol and Kyiv, as well as high-value targets such as airstrips and fuel depots. Ukraine also announced that the Ukrainian Air Force command center had been struck by cruise missiles, causing considerable damage. However, it was further estimated that Russia’s supplies of certain types of missile were running low. On March 27, 2022, Russia confirmed it had struck two fuel depots with missiles, one near the city of Lviv and the other near Kyiv.

On March 29, 2022, Russia announced it would “drastically reduce” its attacks on the cities of Kyiv and Chernihiv as part of ongoing peace talks between Russia and Ukraine. U.S. intelligence confirmed that a small number of Russian forces had indeed moved away from Kyiv, though many officials from both the U.S. and notably Russia were quick to clarify that this was a simple repositioning of Russian forces rather than the first step toward a larger cease-fire.

This warning would prove accurate, as Russian forces regrouped and soon intensified efforts to take over Ukraine’s southern and eastern regions. Moreover, the mayor of Chernihiv maintained that Russian attacks increased after the announcement rather than decreasing. Meanwhile, reports began to surface that Russian troops were refusing orders and that advisors to Russian leader Vladimir Putin were misleading him about the war’s progress.

Over the following days, Russian forces did retreat from Kyiv and Chernihiv. However, the retreat revealed substantial evidence that Russian troops had conducted significant war crimes during their occupation of Ukrainian territories. The existence of mass graves and clear signs that civilians had been targeted, abused, and executed in areas such as the city of Bucha incited a new round of condemnation of Russia’s actions from the international community. By April 15, 2022, more than 900 civilian bodies had been discovered in areas of Kyiv that had been occupied by Russian forces. As a result of these discoveries, multiple countries have accused Russia of genocide.. Russian soldiers have also been accused of using rape to break Ukrainians’ morale.

On April 14, 2022, the Russian guided-missile cruiser Moskva sank in the Black Sea. Ukraine claimed it had struck the ship with a missile, while Russia claimed the sinking was due to an onboard fire that set off stored ammunition. Whatever the true cause, the loss of the Moskva, a flagship of the Russian fleet, is said to have triggered “increasingly hostile” conflict in Ukraine’s southern regions. President Zelensky and other governmental officials also reiterated public warnings that Russian President Vladimir Putin could quite possibly deploy chemical or tactical nuclear weapons if the conflict continues to favor Ukraine.

Political Fallout of the Russian Invasion of Ukraine

The majority of the world’s countries, as well as organizations including NATO, the European Union, and the Council of Europe, have strongly condemned Russia’s actions. Many countries have sent military supplies and humanitarian aid to Ukraine, but have not yet sent troops to assist in the country’s defense. On March 16, 2022, the International Court of Justice ruled 13-2 that Russia must immediately cease its military operations in Ukraine.

The sentiments of the Russian people as a whole are difficult to ascertain, as the Russian government heavily censors information and blocks social media and news websites. Russia has also made it illegal for the press to offer any opinion or information that does not directly support the highly partisan and factually inaccurate official government stance on the invasion. As a result, many press outlets are fleeing the country or shutting down altogether.

The United States, Germany, and several other nations also imposed massive economic sanctions against Russia, such as boycotting the purchase of Russian oil and wheat and locking Russian banks out of the financial network SWIFT, thereby limiting their ability to conduct international transactions. Supply chain shortages caused by these sanctions, as well as the conflict itself, have sent the prices of gasoline, natural gas, wheat, and certain other products (particularly those produced by Russia or Ukraine), to record highs in many places around the globe.

However, the greatest financial impact is happening in Russia itself, where the ruble is plummeting in value and the already struggling economy is undergoing tremendous strain. Many countries have also levied sanctions against Putin himself, as well as various other high-level Russian politicians and oligarchs. China, notably, has been reticent to criticize Russia’s actions and has not imposed any sanctions. On March 25, 2022, Putin instructed Russia’s gas importers to accept payments only in Russian rubles, a move intended to increase the flailing value of Russia’s currency. The move was widely rejected by countries including France and Germany.

On March 15, 2022, Russia announced that it was withdrawing from the Council of Europe, a humanitarian organization that had suspended Russia’s membership upon its initial invasion of Ukraine. The 47-nation council instead moved to expel Russia on March 15, 2022. Russia also announced that it had chosen to sanction U.S. President Joe Biden, White House Press Secretary Jen Psaki, Defense Secretary Lloyd Austin, and several other high-ranking U.S. officials. The sanctions appeared to be largely symbolic, however, as Psaki noted half-jokingly that the U.S. officials had no Russian vacations planned and no Russian bank accounts they would no longer be able to access. On April 15, 2022, Russia officially protested the United States’ supplying of weapons and ammunition to Ukraine.

Peace talks between Russia and Ukraine continued as of March 17, 2022, with one of the key points being Russia’s insistence that Ukraine not join the North Atlantic Treaty Organization (NATO). On March 27, 2022, Ukrainian president Volodymyr Zelensky stated that Ukraine would be willing to agree to remain neutral and reverse plans to join NATO. However, Zelensky added, demilitarization and “denazification”—a term many experts feel Putin is using as a baseless excuse to invade—would not be on the table. However, peace talks continued and arguably contributed to Russia’s March 29, 2022 announcement that it would de-escalate its attacks on the northern cities of Kyiv (Ukraine’s capital) and Chernihiv.

On April 04, 2022, the United Nations General Assembly voted to remove Russia from the United Nations’ Human Rights Council. Russia remained a permanent member of the United Nations Security Council, however, a situation that many, including Ukrainian president Volodymyr Zelensky, have claimed undermines the organization’s credibility and effectiveness.

On April 22, 2022, Russian officials revealed that Russia’s goal was to take control of the southeastern portion of Ukraine. Annexing this region would establish a land bridge between Russia and the Crimean peninsula, which it had previously annexed in 2014.

Countries Currently at War (as of September 2022)

Category: 10,000+ casualties in 2022

Myanmar

Type: Civil War

2022 casualties (estimate): 13,646

Conflict between the various ethnic factions in Myanmar began in 1948, the year the country gained independence from the UK, and has continued in varying degrees ever since, making this the longest civil war in the world. While the conflict waned briefly from 2011-2021 amid ongoing political reform, a 2021 military coup plunged the country back into violence. ACLED estimates that Myanmar endured 11,000 casualties in 2021 and more than 13,000 in the first eight months of 2022.

Russia [also involved: Ukraine]

Type: Invasion (aggressor) 2022 casualties (estimate): 15,000-20,000

Estimates for the number of Russian troops lost thus far in the country’s “special military operation” in Ukraine vary widely, with Russia claiming a mere 5,000 casualties and Ukraine claiming 50,000. In late July 2022, the US military estimated 15,000 Russian troops killed and 45,000 wounded, and an August estimate raised the collective number to 70,000-80,000 for both KIA and wounded.

Ukraine [also involved: Russia]

Type: Invasion (defender) 2022 casualties: 13,528 military (estimated), 5,718 civilians (confirmed)

Although the Russo-Ukrainian War began in 2014 with Russia’s annexation of Ukraine’s Crimean Peninsula, the situation escalated tremendously with Russia’s invasion of the Ukrainian mainland in February of 2022. Casualty estimates have been complicated by the facts that millions of Ukrainians have become homeless refugees and that Russia has deported thousands of prisoners of war (both soldiers and civilians) back to Russia. Both of these conditions make casualty tallies difficult to discern.

*2022 data from 01 Jan. to 01 Sept.

Category: 1,000 to 10,000 casualties in 2023

Countries in Which War Casualties Fell Below 10,000 in 2022

Afghanistan

Type: Civil War/Terrorist Insurgency

2022 casualties (ACLED estimate): 2,710

The war in Afghanistan has been on and off since 1978. The most recent phase began in 2001 and has primarily revolved around U.S. and U.N. forces and allied Afghan troops fighting Taliban insurgents. According to the Armed Conflict Location & Event Data Project (ACLED), there were 30,936 confirmed fatalities in 2020 alone. The US/UN withdrawal from Afghanistan in 2021 signaled that particular conflict, but the Taliban immediately retook control of the country and war between the Taliban and other factions, including ISIL-K, which bombed the airport in Kabul during U.S. evacuations, continues. The Armed Conflict Location & Event Data Project (ACLED) estimates that Afghanistan has experienced more than 2,700 casualties in 2022.

Ethiopia [also involved: Eritrea]

Type: Civil War

2022 casualties (ACLED estimate): 4,790

Tension between clashing political parties in Ethiopia escalated into a violent civil war in November 2020. Eritrea, which borders Ethiopia to the north, has also sent troops into the conflict. The violence has spilled over into neighboring countries, with isolated skirmishes taking place in Sudan and Somalia. Named the “Tigray War”, after the region in which it began, the war had resulted in more than 9,000 documented casualties (though some sources estimate more than 50,000) by September 2021. Reports indicate war crimes are common.

Mexico

Type: Drug War

2022 casualties (ACLED estimate): 5,393

The Mexican Drug War is an ongoing conflict between the Mexican government and multiple powerful and violent drug trafficking cartels. It is estimated that the war on drugs has led to at least 350,000 deaths—with more than 72,000 people still missing—from January 2006 to May 2021.

Yemen [also involved: Saudi Arabia]

Type: Civil War

2022 casualties (ACLED estimate): 5,548

The Yemeni Civil War began in September 2014 when the Houthi armed movement took control of Sanaa, the capital city and seat of the existing government, led by President Abdrabbuh Mansur Hadi. Both factions claim to be the official Yemeni government. Saudi Arabia intervened in support of Hadi in early 2015, leading a coalition of Asian and African countries, with intelligence and logistical support from the United States. ACLED has counted more than 140,000 fatalities since the start of the war, including nearly 20,000 in 2020 alone.

In April 2022, the two sides in this conflict agreed to a two-month truce, which could be extended indefinitely (two months at a time) into the future. As of September 2022, the truce has been extended multiple times. While the truce has not always been followed—more than 2000 violations (resulting in 350+ fatalities) have been recorded since its adoption—it has nonetheless decreased the level of violence in the country, which saw more than 23,000 deaths in 2021.",,https://worldpopulationreview.com/og-image.png
Conflicts worldwide 2025 - statistics & facts,Published date not found (newspaper3k),https://www.statista.com/topics/13125/conflicts-worldwide-2025/,"Britons who think there will be a major world conflict in the near future 2019-2025

""How likely do you think it is that there will be a major conflict involving most countries in the world in the next 20 years?"" (August 2019 to January 2025)","Statista Research Department, This Text Provides General Information. Statista Assumes No, Liability For The Information Given Being Complete Or Correct., Due To Varying Update Cycles, Statistics Can Display More Up-To-Date, Data Than Referenced In The Text.",https://cdn.statcdn.com/static/img/openGraph/statista.png
Title not found (newspaper3k),Published date not found (newspaper3k),https://www.crisisgroup.org/crisiswatch,Body not found (newspaper3k),,
Ukraine war: Interactive map of the current front line,Published date not found (newspaper3k),https://www.nzz.ch/english/ukraine-war-interactive-map-of-the-current-front-line-ld.1688087,"What we are showing on our Ukraine map and why it looks different from other media outlets’ projects

This war is different. Although men and machines are also clashing in this one, the global public can this time follow the developments in nearly real time, unlike in past conflicts. At the NZZ, too, we are using the flood of information reaching us from Ukraine to give you the most up-to-date picture of the situation possible. Our interactive map above depicts recent events, territorial gains and losses, satellite imagery, and the position of Russian troops. It is an attempt to map the reality of war.

Optimieren Sie Ihre Browsereinstellungen NZZ.ch benötigt JavaScript für wichtige Funktionen. Ihr Browser oder Adblocker verhindert dies momentan. Bitte passen Sie die Einstellungen an.

However, reality is always more complex than what can be represented on a map. Maps always show only a certain point of view, and can only approximate reality. Therefore, we want to be clear here about how our map has been created, so readers can understand what it says and what it does not.

The short answer: anything relevant to understanding the war that we have been able to verify. The detailed answer, on the other hand, is more complex and – because war is constantly changing – in a constant state of flux.

«Relevant» to us means, for example, the locations in which combat operations are taking place; or strategically important targets that have been attacked or captured such as airports, power plants, transmission towers or bridges. We do not report the destruction of individual buildings unless the attack has symbolic value or has claimed an exceptionally large number of victims. For example: In the embattled city of Mariupol, a theater with hundreds of civilians sheltering in its basements was destroyed.

We do not show deaths, events that serve (Russian or Ukrainian) propaganda, or those that violate international law. For example, we do not show pictures in which captured soldiers are recognizable.

» Read more about when and why we publish images of dead people here.

We record on the map only those attacks that we have been able to substantiate through multiple independent sources. Our sources include Twitter, Facebook, Telegram and news agencies. We also include communications from local authorities in our research, but we treat this information with caution.

We check every picture and video to see if it was taken at the specified location and if the specified time is plausible. For verification purposes we refer to satellite images or Google Street View images, but we also rely on other reliable research networks (such as Bellingcat) or private persons (so-called Osint specialists, more about this here).

» Read more about how Osint experts verify events.

» Read more about how you can recognize fake news on social media yourself.

We collect current news on a daily basis, even on weekends. In some cases, we are aware of events shortly after they occur, but are unable to verify them until the following day, using further material.

There is no official information from the Ukrainian or Russian side regarding which areas are under whose control. And if such information was provided, it would not be reliable. Maps have always been misused for political purposes (China, for example, depicts maritime areas as belonging to China in order to strengthen its claim to them).

At the same time, the nature of warfare has also changed. Attackers do not drive across forests and meadows with a broad front, seeking to annex square meter after square meter, as they did in World War II, for example. Instead, combat operations focus on strategically important roads, cities and facilities. Maps showing large areas held by Russian troops therefore often do not represent the actual influence of a warring party.

This is illustrated by the following example. The first map is from the Ukrainian organization Liveuamap (more on that later). Instead of entire areas, the creators often mark only individual streets as being held by Russian troops. Information provided by the American Institute for the Study of War appears to show far greater Russian successes for the same day. On the latest map published by Russian newspaper Readovka, areas marked in color as the «war zone» give the impression that large parts of eastern Ukraine are under Russian control.

For our map we use data from Liveuamap. This organization emerged in 2014 in Ukraine during the annexation of Crimea. Since then, the staff has dealt with various conflicts both in and outside Europe. The NZZ has also relied on its data for other conflicts.

We rely on information from Henry Schlottman, a former U.S. Army analyst. Using known troop positions before the war began, pictures of (destroyed) Russian war equipment, information from prisoners and other public data, he is able to record the approximate position of each unit. Despite all this information, the data remain approximations.

The Russian army relies on so-called battalion tactical groups (BTGs). A BTG consists of various individual units and is capable of performing tasks without additional support. It is a central organizational unit in the Russian army and typically consists of infantry, tank companies, artillery, air defense, logistics and other support units, for example.

Yes, the map is constantly being adapted and expanded to meet changing needs. We will also update this article on an ongoing basis.","Nzz Visuals, Andreas Babst, Beatrice Achterberg, Oliver Maksan, Werner J. Marti, Rewert Hoffer","https://img.nzz.ch/2022/06/10/06c6a287-bc76-4405-abd4-422d07dc82f6.gif?width=1198&height=674&fit=bounds&quality=75&auto=webp&crop=1198,674,x1,y0&wmark=nzz"
"Russia-Ukraine war: List of key events, day 1,185",2025-05-24T00:00:00,https://www.aljazeera.com/news/2025/5/24/russia-ukraine-war-list-of-key-events-day-1185,"Russia has accused Ukraine of launching a massive wave of drone attacks, numbering up to 800, against non-military targets in Moscow and other regions in the last three days and said it would respond, but said it was still committed to holding peace talks with Kyiv.",,https://www.aljazeera.com/wp-content/uploads/2025/05/2025-05-23T161123Z_1722487328_RC2NNEA0XU9K_RTRMADP_3_UKRAINE-CRISIS-KOSTYANTYNIVKA-1748051909.jpg?resize=1920%2C1440
Latest News & Updates,Published date not found (newspaper3k),https://www.bbc.com/news/war-in-ukraine,"Six Ukrainian soldiers killed in Russian strike on training exercise

Ukraine's National Guard said the attack took place while the men were carrying out exercises at a firing range.",,https://static.files.bbci.co.uk/bbcdotcom/web/20250522-140200-09101d307-web-2.22.2-1/apple-touch-icon.png
